Species,Longitud,Latitud
1,4.664464,36.695016
1,3.051079,36.750858
1,6.646627,35.319812
1,2.758939,35.866968
1,2.894551,36.428804
1,2.894551,36.428804
1,4.228231,36.447645
1,6.660049,36.347129
1,3.062753,36.712484
1,2.766674,36.399979
1,2.38379,36.372669
1,2.392424,35.911446
1,3.327718,36.41928
1,6.772064,35.36725
1,6.772064,35.36725
1,6.772064,35.36725
1,7.084694,35.464389
1,7.084694,35.464389
1,7.084694,35.464389
1,7.084694,35.464389
1,7.084694,35.464389
1,-1.31115,34.892852
1,-1.719145,34.88846
1,-1.430057,34.803808
1,6.184899,35.56868
1,7.213069,35.372453
1,2.729084,36.462393
1,-0.644706,35.694141
1,-1.917591,34.70921
1,0.143723,34.844691
1,10.193902,36.831226
1,7.671621,36.916182
1,-1.31115,34.892852
1,10.337884,36.720113
1,10.193902,36.831226
1,10.068432,36.806134
1,8.77595,36.506551
1,8.683641,36.779575
1,7.721929,36.9139
1,6.910387,36.871316
1,5.419823,36.18304
1,5.264211,36.197404
1,4.192604,36.715416
1,4.127236,36.449611
1,3.819296,36.550194
1,2.915863,36.162578
1,2.368583,36.393432
1,1.970644,36.256324
1,-1.852302,35.093783
1,-1.648921,34.826141
1,9.606223,34.607157
1,3.283762,36.600034
1,2.995738,36.42229
1,3.016782,36.782217
1,4.664464,36.695016
1,3.817045,36.700529
1,4.337572,36.612591
2,-7.9,32.49
2,-7.041174,32.1393
2,-7.381271,31.28788
2,-8.865717,31.265867
2,-9.480813,30.672651
2,-6.468598,31.648498
2,-8.032574,31.629341
2,-8.465962,30.998943
2,-7.84676,31.156069
2,-9.786887,31.496459
2,-8.08,31
2,-7.84676,31.156069
2,-7.986426,31.240417
2,-8.239703,31.21981
2,-6.57682,31.960406
2,-5.640718,32.152163
2,-7.885786,31.235082
2,-6.941106,31.8644
2,-9.139552,31.038004
2,-7.2967,31.6445
3,-7.381064,31.286296
3,-8.62565,30.41915
3,-9.583889,30.414444
3,-9.593867,30.517583
3,5.631614,35.161414
3,-8.48485,30.2571
3,9.853983,35.807033
3,-0.57498,32.748478
3,3.290385,34.661594
3,3.290385,34.661594
3,12.532396,32.056313
3,10.024205,33.697473
3,-8.377778,30.844444
3,14.019778,32.581032
3,-10.168105,29.364485
3,-10.051027,29.534242
3,-9.726364,29.697395
3,-9.431312,29.057481
3,-9.302574,29.884617
3,-9.007861,29.861232
3,-9.149545,30.070401
3,-9.505794,30.380305
3,-9.548908,30.42032
3,-9.597731,30.55036
3,-9.598636,30.593578
3,-9.480537,30.677672
3,-8.658077,31.130419
3,-8.032574,31.629341
3,-1.931792,31.941281
3,3.359771,35.351054
3,4.166667,35.183333
3,9.478668,35.035896
3,8.587256,34.98146
3,-10.678431,28.500176
4,-3.86,34.699
4,-3.86,34.699
4,-5.17,35.36
4,-5.91,34.94
4,-5.21,35.06
4,-3.8653,34.6187
4,-4.05,35.19
4,-5.22,35.54
4,-5.17,35.36
4,-5.21,35.06
4,-5.21,35.06
4,-4.02,34.18
4,-5.015892,33.35003
4,-4.21,35.14
4,-5.247265,35.310005
4,-5.231252,33.437527
4,-4.977711,34.032764
4,-5.103322,33.52371
4,-2.946167,35.289484
4,-5.992684,35.175962
4,-2.946167,35.289484
4,-5.2705,35.171697
4,-5.347424,34.803477
4,-5.00103,33.083332
4,-5.03923,33.458297
4,-4.967782,34.106385
4,-3.994346,34.208706
4,-4.565996,34.915917
4,-4.565996,34.915917
4,-5.576087,34.805147
4,-5.217823,35.160976
4,-5.386924,35.595415
4,-5.099087,35.456304
4,-5.024465,33.392164
4,-5.370084,35.585761
