no;ID;Rasp;LAT;LONG
1;D1005;B;30.672651;-9.480813
;;;;
3;D1109;B;31.122728;-7.920315
;;;;
;;;;
6;D113;A;32.49;-7.9
7;D1132;B;31.192528;-7.949664
8;D114;A;32.49;-7.9
9;D115;A;32.49;-7.9
;;;;
;;;;
;;;;
;;;;
;;;;
15;D135;A;32.1393;-7.041174
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
26;D399;B;31.28788;-7.381271
;;;;
;;;;
;;;;
30;D500;I;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
37;D798;B;31.219482;-7.8439
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
46;K229;B;31.265867;-8.865717
